Nro;Año;Periodo;Cod_Encuesta;Encuesta;Cod_Modulo;Modulo;Tipo de Acceso
1;2021;142;756;Registro Nacional de Municipalidades - RENAMU;1658;Registro Nacional de Municipalidades;DBF
1;2020;142;730;Registro Nacional de Municipalidades - RENAMU;1587;Datos Generales de la Municipalidad;DBF
1;2019;142;656;Registro Nacional de Municipalidades - RENAMU;1482;Datos Generales de la Municipalidad;DBF
1;2018;142;624;Registro Nacional de Municipalidades - RENAMU;1341;Datos Generales de la Municipalidad;DBF
1;2017;141;594;Registro Nacional de Municipalidades - RENAMU;727;Datos Generales de la Municipalidad;DBF
1;2016;61;538;Registro Nacional de Municipalidades - RENAMU;727;Datos Generales de la Municipalidad;DBF
1;2015;61;499;Registro Nacional de Municipalidades - RENAMU;727;Datos Generales de la Municipalidad;DBF
1;2014;61;430;Registro Nacional de Municipalidades - RENAMU;86;Datos Generales de la Municipalidad;DBF
1;2013;61;388;Registro Nacional de Municipalidades - RENAMU;86;Datos Generales de la Municipalidad;DBF
1;2012;61;328;Registro Nacional de Municipalidades - RENAMU;86;Datos Generales de la Municipalidad;DBF
1;2011;61;304;Registro Nacional de Municipalidades - RENAMU;86;Datos Generales de la Municipalidad;DBF
1;2010;18;269;Registro Nacional de Municipalidades - RENAMU;86;Datos Generales de la Municipalidad;DBF
1;2009;18;249;Registro Nacional de Municipalidades - RENAMU;86;Datos Generales de la Municipalidad;DBF
1;2008;18;225;Registro Nacional de Municipalidades - RENAMU;86;Datos Generales de la Municipalidad;DBF
1;2007;18;207;Registro Nacional de Municipalidades - RENAMU;86;Datos Generales de la Municipalidad;DBF
1;2006;18;185;Registro Nacional de Municipalidades - RENAMU;86;Datos Generales de la Municipalidad;DBF
1;2005;18;177;Registro Nacional de Municipalidades - RENAMU;86;Datos Generales de la Municipalidad;DBF
1;2004;18;144;REGISTRO NACIONAL DE MUNICIPALIDADES - RENAMU;86;Datos Generales de la Municipalidad;DBF
